n,profile,selectivity,policy_complexity,scheme,certificate_bytes,server_generation_ms,client_verification_ms,sqlite_query_ms,query_latency_overhead_x,authorized_rows,range_rows,tree_build_ms,root,selected_evidence
5000,dashboard_sales,0.2,3,pacta,91733,6.288114,3.54795,0.148493,42.34619813728593,105,1002,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,3,full_recompute,722508,0.013968,0.63463,0.148493,,105,1002,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,3,full_table_hash,722586,0.03287,0.758905,0.148493,,105,1002,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,3,tuple_merkle,689967,140.090394,16.3236725,0.148493,,105,1002,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,3,tuple_frontier,779752,142.241117,19.5548735,0.148493,,105,1002,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,3,range_tree,235066,3.557942,3.670783,0.148493,,105,1002,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,3,provenance_only,854,0.727245,0.000793,0.148493,,105,1002,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,3,policy_oblivious,90097,3.025474,2.2744395,0.148493,,105,1002,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,3,adaptive_planner,91733,6.288114,3.54795,0.148493,,105,1002,216.645521,d35fbf38a5bd78f8,policy_summary_cover
5000,dashboard_sales,0.01,5,pacta,24692,3.764686,1.902896,0.032054,117.44824358894367,12,54,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,5,full_recompute,722487,0.011046,0.443401,0.032054,,12,54,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,5,full_table_hash,722565,0.030491,0.530826,0.032054,,12,54,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,5,tuple_merkle,79127,16.957971,1.982358,0.032054,,12,54,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,5,tuple_frontier,101892,18.428712,3.6041135,0.032054,,12,54,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,5,range_tree,30932,2.566864,1.666334,0.032054,,12,54,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,5,provenance_only,397,0.57134,0.0007650000000000001,0.032054,,12,54,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,5,policy_oblivious,23052,1.938607,1.23446,0.032054,,12,54,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,5,adaptive_planner,24692,3.764686,1.902896,0.032054,,12,54,216.645521,d35fbf38a5bd78f8,policy_summary_cover
5000,dashboard_sales,0.05,5,pacta,57394,4.759557,2.626114,0.057257,83.12620290968789,38,254,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,5,full_recompute,722501,0.012323,0.495061,0.057257,,38,254,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,5,full_table_hash,722579,0.036075,0.628201,0.057257,,38,254,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,5,tuple_merkle,249816,51.494117,6.1453665,0.057257,,38,254,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,5,tuple_frontier,305269,54.052527,8.304068000000001,0.057257,,38,254,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,5,range_tree,92583,2.90538,2.4550865,0.057257,,38,254,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,5,provenance_only,534,0.659636,0.0007785,0.057257,,38,254,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,5,policy_oblivious,55754,2.369038,1.626439,0.057257,,38,254,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,5,adaptive_planner,57394,4.759557,2.626114,0.057257,,38,254,216.645521,d35fbf38a5bd78f8,policy_summary_cover
5000,dashboard_sales,0.2,5,pacta,86015,6.032103,3.359204,0.128924,46.7880534268251,156,985,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,5,full_recompute,722512,0.015448,0.58868,0.128924,,156,985,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,5,full_table_hash,722590,0.037454,0.68026,0.128924,,156,985,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,5,tuple_merkle,1024428,208.741214,25.4674335,0.128924,,156,985,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,5,tuple_frontier,1108491,213.588535,28.499041499999997,0.128924,,156,985,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,5,range_tree,226896,3.466536,3.5042910000000003,0.128924,,156,985,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,5,provenance_only,1120,0.800059,0.0008675,0.128924,,156,985,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,5,policy_oblivious,84375,3.080608,2.0542534999999997,0.128924,,156,985,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,5,adaptive_planner,86015,6.032103,3.359204,0.128924,,156,985,216.645521,d35fbf38a5bd78f8,policy_summary_cover
