profile,seed,n,selectivity,policy_complexity,certificate_bytes,server_generation_ms,client_verification_ms,sqlite_query_ms,authorized_rows,range_rows,tree_build_ms,semantic_checked
tpch_lineitem_like,1723,3000,0.02,1,18171,2.265651,1.244641,0.149645,1,42,127.571543,True
tpch_lineitem_like,1723,3000,0.05,1,25688,2.672905,1.517317,0.081732,2,94,127.571543,True
tpch_lineitem_like,1723,3000,0.1,1,50719,4.083517,2.467532,0.078718,4,212,127.571543,True
tpch_lineitem_like,1723,3000,0.2,1,104869,5.900325,3.747766,0.113475,15,718,127.571543,True
tpch_lineitem_like,1723,3000,0.02,3,18314,2.500137,1.456401,0.148231,0,35,127.571543,True
tpch_lineitem_like,1723,3000,0.05,3,32921,3.118699,1.815837,0.077723,9,111,127.571543,True
tpch_lineitem_like,1723,3000,0.1,3,52117,4.496178,3.021694,0.091255,15,217,127.571543,True
tpch_lineitem_like,1723,3000,0.2,3,62480,5.583626,2.937,0.184301,36,643,127.571543,True
tpch_lineitem_like,1723,3000,0.02,5,15385,2.22691,0.735185,0.193239,19,48,127.571543,True
tpch_lineitem_like,1723,3000,0.05,5,32626,3.703731,2.046192,0.165256,43,110,127.571543,True
tpch_lineitem_like,1723,3000,0.1,5,46749,3.957376,2.318054,0.190957,88,206,127.571543,True
tpch_lineitem_like,1723,3000,0.2,5,82662,6.562534,4.527496,0.301132,214,571,127.571543,True
tpch_lineitem_like,1759,3000,0.02,1,19685,2.519836,1.443265,0.159273,1,48,137.28994,True
tpch_lineitem_like,1759,3000,0.05,1,26805,2.536898,1.071585,0.072328,0,112,137.28994,True
tpch_lineitem_like,1759,3000,0.1,1,48312,4.664869,2.872893,0.108666,13,376,137.28994,True
tpch_lineitem_like,1759,3000,0.2,1,54966,7.102712,2.338315,0.155074,6,427,137.28994,True
tpch_lineitem_like,1759,3000,0.02,3,21891,2.281093,1.253669,0.166761,7,69,137.28994,True
tpch_lineitem_like,1759,3000,0.05,3,28750,3.111925,1.823822,0.072479,6,98,137.28994,True
tpch_lineitem_like,1759,3000,0.1,3,81007,4.990027,3.016787,0.084792,18,396,137.28994,True
tpch_lineitem_like,1759,3000,0.2,3,82522,4.743829,2.710701,0.098778,18,423,137.28994,True
tpch_lineitem_like,1759,3000,0.02,5,27424,3.040549,1.87832,0.169631,23,80,137.28994,True
tpch_lineitem_like,1759,3000,0.05,5,32959,3.529635,2.333235,0.115197,42,118,137.28994,True
